Arquitectura,Etapa,Generador,Visto,Semilla,Exactitud,Precision,Sensibilidad_Recall,Especificidad,F1_Score,AUC_ROC,VP_fake_fake,FN_fake_real,FP_real_fake,VN_real_real
Xception,FT-1,StyleGAN2,True,42,0.7976190476190477,0.712152070604209,0.9990476190476191,0.5961904761904762,0.8315497423701942,0.9974036281179137,1049,1,424,626
Xception,FT-1,StyleGAN2,True,123,0.820952380952381,0.7366573033707865,0.9990476190476191,0.6428571428571429,0.8480194017784963,0.9985560090702948,1049,1,375,675
Xception,FT-1,StyleGAN2,True,2024,0.8076190476190476,0.7224517906336089,0.9990476190476191,0.6161904761904762,0.8385291766586731,0.9981451247165533,1049,1,403,647
Xception,FT-1,StyleGAN3,True,42,0.7947619047619048,0.710974778459441,0.9933333333333333,0.5961904761904762,0.8287644020659515,0.969597732426304,1043,7,424,626
Xception,FT-1,StyleGAN3,True,123,0.8180952380952381,0.735543018335684,0.9933333333333333,0.6428571428571429,0.8452188006482982,0.9787242630385488,1043,7,375,675
Xception,FT-1,StyleGAN3,True,2024,0.8042857142857143,0.7211072664359861,0.9923809523809524,0.6161904761904762,0.8352705410821644,0.9801823129251701,1042,8,403,647
Xception,FT-1,SDXL,False,42,0.7266666666666667,0.6797583081570997,0.8571428571428571,0.5961904761904762,0.7582139848357203,0.8229319727891157,900,150,424,626
Xception,FT-1,SDXL,False,123,0.7214285714285714,0.691358024691358,0.8,0.6428571428571429,0.7417218543046358,0.8054643990929706,840,210,375,675
Xception,FT-1,SDXL,False,2024,0.7152380952380952,0.6796502384737679,0.8142857142857143,0.6161904761904762,0.7409012131715771,0.7868630385487528,855,195,403,647
Xception,FT-1,Flux,False,42,0.7576190476190476,0.6947444204463643,0.919047619047619,0.5961904761904762,0.7913079130791308,0.8748825396825396,965,85,424,626
Xception,FT-1,Flux,False,123,0.7595238095238095,0.7104247104247104,0.8761904761904762,0.6428571428571429,0.7846481876332623,0.8404879818594104,920,130,375,675
Xception,FT-1,Flux,False,2024,0.7452380952380953,0.6949280847842544,0.8742857142857143,0.6161904761904762,0.7743568114719528,0.8257002267573696,918,132,403,647
Xception,FT-2,StyleGAN2,True,42,0.799047619047619,0.7136054421768707,0.9990476190476191,0.599047619047619,0.8325396825396826,0.9967727891156463,1049,1,421,629
Xception,FT-2,StyleGAN2,True,123,0.8095238095238095,0.7241379310344828,1.0,0.6190476190476191,0.84,0.9989070294784581,1050,0,400,650
Xception,FT-2,StyleGAN2,True,2024,0.8247619047619048,0.7404795486600846,1.0,0.6495238095238095,0.8508914100486223,0.998414058956916,1050,0,368,682
Xception,FT-2,StyleGAN3,True,42,0.7961904761904762,0.712431693989071,0.9933333333333333,0.599047619047619,0.8297533810660302,0.9731492063492063,1043,7,421,629
Xception,FT-2,StyleGAN3,True,123,0.8071428571428572,0.7231833910034602,0.9952380952380953,0.6190476190476191,0.8376753507014028,0.9822086167800453,1045,5,400,650
Xception,FT-2,StyleGAN3,True,2024,0.8214285714285714,0.7391920623671155,0.9933333333333333,0.6495238095238095,0.8476229175132061,0.9802308390022675,1043,7,368,682
Xception,FT-2,SDXL,True,42,0.7947619047619048,0.7118412046543463,0.9904761904761905,0.599047619047619,0.8283552369573874,0.9738752834467119,1040,10,421,629
Xception,FT-2,SDXL,True,123,0.8066666666666666,0.7229916897506925,0.9942857142857143,0.6190476190476191,0.8372093023255814,0.9804770975056689,1044,6,400,650
Xception,FT-2,SDXL,True,2024,0.8176190476190476,0.7377049180327869,0.9857142857142858,0.6495238095238095,0.8438646555238484,0.976885260770975,1035,15,368,682
Xception,FT-2,Flux,False,42,0.799047619047619,0.7136054421768707,0.9990476190476191,0.599047619047619,0.8325396825396826,0.9925251700680271,1049,1,421,629
Xception,FT-2,Flux,False,123,0.809047619047619,0.7239475500345065,0.9990476190476191,0.6190476190476191,0.8395358143257303,0.9966122448979593,1049,1,400,650
Xception,FT-2,Flux,False,2024,0.8247619047619048,0.7404795486600846,1.0,0.6495238095238095,0.8508914100486223,0.9954285714285714,1050,0,368,682
Xception,FT-3,StyleGAN2,True,42,0.7904761904761904,0.7049731182795699,0.9990476190476191,0.5819047619047619,0.8266351457840819,0.9965455782312926,1049,1,439,611
Xception,FT-3,StyleGAN2,True,123,0.8004761904761905,0.7147719537100068,1.0,0.6009523809523809,0.833664152441445,0.9988575963718821,1050,0,419,631
Xception,FT-3,StyleGAN2,True,2024,0.8214285714285714,0.7368421052631579,1.0,0.6428571428571429,0.8484848484848485,0.9969560090702948,1050,0,375,675
Xception,FT-3,StyleGAN3,True,42,0.7876190476190477,0.703778677462888,0.9933333333333333,0.5819047619047619,0.8238546603475514,0.9718267573696145,1043,7,439,611
Xception,FT-3,StyleGAN3,True,123,0.7980952380952381,0.7137978142076503,0.9952380952380953,0.6009523809523809,0.8313444709626094,0.9811981859410431,1045,5,419,631
Xception,FT-3,StyleGAN3,True,2024,0.8185714285714286,0.7357293868921776,0.9942857142857143,0.6428571428571429,0.8456865127582017,0.9768326530612246,1044,6,375,675
Xception,FT-3,SDXL,True,42,0.7885714285714286,0.704177897574124,0.9952380952380953,0.5819047619047619,0.824782951854775,0.974508843537415,1045,5,439,611
Xception,FT-3,SDXL,True,123,0.7985714285714286,0.7139931740614335,0.9961904761904762,0.6009523809523809,0.8318091451292247,0.9850657596371882,1046,4,419,631
Xception,FT-3,SDXL,True,2024,0.8161904761904762,0.7347949080622348,0.9895238095238095,0.6428571428571429,0.8433441558441559,0.9717020408163264,1039,11,375,675
Xception,FT-3,Flux,True,42,0.790952380952381,0.7051712558764271,1.0,0.5819047619047619,0.8270972823946435,0.9946226757369615,1050,0,439,611
Xception,FT-3,Flux,True,123,0.8004761904761905,0.7147719537100068,1.0,0.6009523809523809,0.833664152441445,0.9977151927437643,1050,0,419,631
Xception,FT-3,Flux,True,2024,0.8214285714285714,0.7368421052631579,1.0,0.6428571428571429,0.8484848484848485,0.9943065759637187,1050,0,375,675
