Arquitectura,Etapa,Generador,Visto,N_semillas,Exactitud_media,Exactitud_sd,Exactitud_texto,Precision_media,Precision_sd,Precision_texto,Sensibilidad_Recall_media,Sensibilidad_Recall_sd,Sensibilidad_Recall_texto,Especificidad_media,Especificidad_sd,Especificidad_texto,F1_Score_media,F1_Score_sd,F1_Score_texto,AUC_ROC_media,AUC_ROC_sd,AUC_ROC_texto
EfficientNet-B0,FT-2,SDXL,True,3,0.771904761904762,0.054017717761856106,0.7719 ± 0.0540,0.695266718869985,0.05177588656318519,0.6953 ± 0.0518,0.9777777777777779,0.002199429596912865,0.9778 ± 0.0022,0.566031746031746,0.10859370420329437,0.5660 ± 0.1086,0.8119204341153617,0.0356648404874809,0.8119 ± 0.0357,0.9487746031746033,0.02693048015082627,0.9488 ± 0.0269
EfficientNet-B0,FT-2,Flux,False,3,0.7826984126984127,0.05403100926511651,0.7827 ± 0.0540,0.69983721805827,0.05136777533028704,0.6998 ± 0.0514,0.9993650793650793,0.0005498573992282003,0.9994 ± 0.0005,0.566031746031746,0.10859370420329437,0.5660 ± 0.1086,0.8224661100354798,0.03580254162544425,0.8225 ± 0.0358,0.9896758881330311,0.007320572918672268,0.9897 ± 0.0073
EfficientNet-B0,FT-3,StyleGAN2,True,3,0.7998412698412699,0.02573338502926204,0.7998 ± 0.0257,0.7148692482805453,0.026753602360436054,0.7149 ± 0.0268,0.9996825396825396,0.0005498573992282003,0.9997 ± 0.0005,0.6,0.051172200502893984,0.6000 ± 0.0512,0.8334353124269286,0.018136535863977996,0.8334 ± 0.0181,0.9965584278155707,0.0017085003779764105,0.9966 ± 0.0017
EfficientNet-B0,FT-3,StyleGAN3,True,3,0.7946031746031745,0.02507283419083892,0.7946 ± 0.0251,0.7127323067184895,0.026596680629607548,0.7127 ± 0.0266,0.9892063492063493,0.00450077678690725,0.9892 ± 0.0045,0.6,0.051172200502893984,0.6000 ± 0.0512,0.8283140210428805,0.01749077108739115,0.8283 ± 0.0175,0.9799962207105065,0.0060059194466078655,0.9800 ± 0.0060
EfficientNet-B0,FT-3,SDXL,True,3,0.7884126984126985,0.028257534998696716,0.7884 ± 0.0283,0.7100978772400146,0.027995131069967056,0.7101 ± 0.0280,0.9768253968253969,0.009634279939995882,0.9768 ± 0.0096,0.6,0.051172200502893984,0.6000 ± 0.0512,0.8222125000850502,0.02069017280877979,0.8222 ± 0.0207,0.9507294028722599,0.028607534790736588,0.9507 ± 0.0286
EfficientNet-B0,FT-3,Flux,True,3,0.7996825396825397,0.02544093391897574,0.7997 ± 0.0254,0.7148092472568365,0.02664213365311497,0.7148 ± 0.0266,0.9993650793650793,0.0005498573992282003,0.9994 ± 0.0005,0.6,0.051172200502893984,0.6000 ± 0.0512,0.8332798136110765,0.017851035711464142,0.8333 ± 0.0179,0.99141179138322,0.005291262872468896,0.9914 ± 0.0053
ResNet-50,Inicial,StyleGAN2,True,3,0.7993650793650794,0.0293401867895649,0.7994 ± 0.0293,0.7149596863564791,0.029913790099556484,0.7150 ± 0.0299,0.9984126984126984,0.0005498573992282003,0.9984 ± 0.0005,0.6003174603174602,0.05864945119498058,0.6003 ± 0.0586,0.8330029873984568,0.020344927261125977,0.8330 ± 0.0203,0.9907455782312926,0.0029705221304806607,0.9907 ± 0.0030
ResNet-50,Inicial,StyleGAN3,False,3,0.7787301587301587,0.02454268036474456,0.7787 ± 0.0245,0.7063752872584846,0.028346667401891592,0.7064 ± 0.0283,0.9571428571428572,0.010732788256747313,0.9571 ± 0.0107,0.6003174603174602,0.05864945119498058,0.6003 ± 0.0586,0.8125232355916427,0.015487425788708422,0.8125 ± 0.0155,0.919345275888133,0.006449848296835539,0.9193 ± 0.0064
ResNet-50,Inicial,SDXL,False,3,0.7746031746031745,0.018184824186332695,0.7746 ± 0.0182,0.7046532834234,0.02560025944701491,0.7047 ± 0.0256,0.9488888888888889,0.02317895153812293,0.9489 ± 0.0232,0.6003174603174602,0.05864945119498058,0.6003 ± 0.0586,0.8082521310702608,0.008960191078037173,0.8083 ± 0.0090,0.9157207860922147,0.008757612883078459,0.9157 ± 0.0088
ResNet-50,Inicial,Flux,False,3,0.7807936507936507,0.026913539795772365,0.7808 ± 0.0269,0.7072306170600781,0.029325252548118002,0.7072 ± 0.0293,0.9612698412698412,0.006482723129099085,0.9613 ± 0.0065,0.6003174603174602,0.05864945119498058,0.6003 ± 0.0586,0.8146223005792796,0.01786706742914588,0.8146 ± 0.0179,0.929011186696901,0.013023320704813976,0.9290 ± 0.0130
ResNet-50,FT-1,StyleGAN2,True,3,0.7215873015873017,0.039039875345203305,0.7216 ± 0.0390,0.6434439520051886,0.03323305786871423,0.6434 ± 0.0332,1.0,0.0,1.0000 ± 0.0000,0.44317460317460317,0.07807975069040653,0.4432 ± 0.0781,0.7827153654386452,0.024331369422933458,0.7827 ± 0.0243,0.9933869992441421,0.0014559110385465185,0.9934 ± 0.0015
ResNet-50,FT-1,StyleGAN3,True,3,0.7174603174603176,0.03893809649986118,0.7175 ± 0.0389,0.6415470620558418,0.033265346315445345,0.6415 ± 0.0333,0.9917460317460317,0.0033446519850326363,0.9917 ± 0.0033,0.44317460317460317,0.07807975069040653,0.4432 ± 0.0781,0.7787697840456355,0.024209267090063467,0.7788 ± 0.0242,0.9512078609221466,0.005444196230289189,0.9512 ± 0.0054
ResNet-50,FT-1,SDXL,False,3,0.7055555555555556,0.0315521859527606,0.7056 ± 0.0316,0.6360330117467484,0.030039403930627,0.6360 ± 0.0300,0.9679365079365079,0.015716690532681328,0.9679 ± 0.0157,0.44317460317460317,0.07807975069040653,0.4432 ± 0.0781,0.76716331362619,0.016826513680320596,0.7672 ± 0.0168,0.9081079365079366,0.01722843621763947,0.9081 ± 0.0172
ResNet-50,FT-1,Flux,False,3,0.7096825396825398,0.03532914021241035,0.7097 ± 0.0353,0.6379587914580704,0.031762556312846454,0.6380 ± 0.0318,0.9761904761904763,0.007438333024672996,0.9762 ± 0.0074,0.44317460317460317,0.07807975069040653,0.4432 ± 0.0781,0.7712362228140662,0.020574530262606423,0.7712 ± 0.0206,0.9252069538926682,0.019986701994269992,0.9252 ± 0.0200
ResNet-50,FT-2,StyleGAN2,True,3,0.7222222222222223,0.021906487164631838,0.7222 ± 0.0219,0.6431922809975807,0.017848698696359987,0.6432 ± 0.0178,1.0,0.0,1.0000 ± 0.0000,0.4444444444444444,0.04381297432926368,0.4444 ± 0.0438,0.7827606890844736,0.013298474948750152,0.7828 ± 0.0133,0.9912728647014362,0.002672676882467668,0.9913 ± 0.0027
ResNet-50,FT-2,StyleGAN3,True,3,0.717936507936508,0.022789251023390508,0.7179 ± 0.0228,0.641209911325359,0.01830457085142308,0.6412 ± 0.0183,0.9914285714285714,0.001904761904761909,0.9914 ± 0.0019,0.4444444444444444,0.04381297432926368,0.4444 ± 0.0438,0.7786670655550995,0.014120295160412997,0.7787 ± 0.0141,0.9412510959939532,0.007936998265816456,0.9413 ± 0.0079
ResNet-50,FT-2,SDXL,True,3,0.7200000000000001,0.02119448865168369,0.7200 ± 0.0212,0.6421748210817569,0.01753849165613478,0.6422 ± 0.0175,0.9955555555555556,0.001454785934906577,0.9956 ± 0.0015,0.4444444444444444,0.04381297432926368,0.4444 ± 0.0438,0.7806368268039727,0.01260663096816705,0.7806 ± 0.0126,0.9765189720332578,0.0015114595323228077,0.9765 ± 0.0015
ResNet-50,FT-2,Flux,False,3,0.7217460317460317,0.02197366664212344,0.7217 ± 0.0220,0.6429732171051946,0.017883717913833454,0.6430 ± 0.0179,0.9990476190476191,0.0009523809523809268,0.9990 ± 0.0010,0.4444444444444444,0.04381297432926368,0.4444 ± 0.0438,0.7823069822861477,0.013364556818075655,0.7823 ± 0.0134,0.9905800453514738,0.0013934570808404121,0.9906 ± 0.0014
ResNet-50,FT-3,StyleGAN2,True,3,0.7609523809523809,0.03522844140606033,0.7610 ± 0.0352,0.6775895574649747,0.03283462030698835,0.6776 ± 0.0328,1.0,0.0,1.0000 ± 0.0000,0.5219047619047619,0.07045688281212069,0.5219 ± 0.0705,0.8075108205008757,0.023180494810389224,0.8075 ± 0.0232,0.9919245653817083,0.00339509028502581,0.9919 ± 0.0034
ResNet-50,FT-3,StyleGAN3,True,3,0.7561904761904762,0.03538258664430463,0.7562 ± 0.0354,0.675500307294719,0.033015947372113066,0.6755 ± 0.0330,0.9904761904761905,0.0009523809523809823,0.9905 ± 0.0010,0.5219047619047619,0.07045688281212069,0.5219 ± 0.0705,0.8029101953353424,0.023281750631088213,0.8029 ± 0.0233,0.9473584278155706,0.013458096845246174,0.9474 ± 0.0135
ResNet-50,FT-3,SDXL,True,3,0.7582539682539683,0.0342404904564304,0.7583 ± 0.0342,0.6764256919175091,0.03247491856116667,0.6764 ± 0.0325,0.9946031746031746,0.0019825390471106116,0.9946 ± 0.0020,0.5219047619047619,0.07045688281212069,0.5219 ± 0.0705,0.8049013063726377,0.02219706734596115,0.8049 ± 0.0222,0.9799752078609222,0.004925370811720435,0.9800 ± 0.0049
ResNet-50,FT-3,Flux,True,3,0.7607936507936509,0.03528418264567772,0.7608 ± 0.0353,0.6775192377500906,0.03286173444758917,0.6775 ± 0.0329,0.9996825396825396,0.0005498573992282003,0.9997 ± 0.0005,0.5219047619047619,0.07045688281212069,0.5219 ± 0.0705,0.8073582654665742,0.023237982026001726,0.8074 ± 0.0232,0.9924979591836735,0.0033396706228901603,0.9925 ± 0.0033
Xception,Inicial,StyleGAN2,True,3,0.9266666666666666,0.044883320639802604,0.9267 ± 0.0449,0.8786830641632902,0.07040994702844863,0.8787 ± 0.0704,0.9958730158730158,0.002396772836593935,0.9959 ± 0.0024,0.8574603174603174,0.09212203940215939,0.8575 ± 0.0921,0.9325567854155232,0.038826018437975736,0.9326 ± 0.0388,0.9972497354497355,0.0020153156275256527,0.9972 ± 0.0020
Xception,Inicial,StyleGAN3,False,3,0.85984126984127,0.02444083667460047,0.8598 ± 0.0244,0.8657329290229558,0.07055867334452201,0.8657 ± 0.0706,0.8622222222222223,0.08197855664169243,0.8622 ± 0.0820,0.8574603174603174,0.09212203940215939,0.8575 ± 0.0921,0.8597512486876265,0.024691675537806074,0.8598 ± 0.0247,0.9402952380952381,0.019679615658955357,0.9403 ± 0.0197
Xception,Inicial,SDXL,False,3,0.769047619047619,0.004542567625794997,0.7690 ± 0.0045,0.8383048011369217,0.07391014386519323,0.8383 ± 0.0739,0.6806349206349207,0.10120513432582255,0.6806 ± 0.1012,0.8574603174603174,0.09212203940215939,0.8575 ± 0.0921,0.744400758808682,0.03184243482561059,0.7444 ± 0.0318,0.8741662887377174,0.01876504194206572,0.8742 ± 0.0188
