Arquitectura,Experimento,Generador,Semilla,Exactitud,Precision,Sensibilidad_Recall,Especificidad,F1_Score,AUC_ROC,VP_fake_fake,FN_fake_real,FP_real_fake,VN_real_real
ResNet-50,C,SDXL,2024,0.7904761904761904,0.7293233082706767,0.9238095238095239,0.6571428571428571,0.8151260504201681,0.9151664399092971,970,80,360,690
ResNet-50,D,Flux,42,0.7542857142857143,0.678,0.9685714285714285,0.54,0.7976470588235294,0.9198961451247165,1017,33,483,567
ResNet-50,D,Flux,123,0.78,0.7070422535211267,0.9561904761904761,0.6038095238095238,0.8129554655870446,0.9232104308390023,1004,46,416,634
ResNet-50,D,Flux,2024,0.8080952380952381,0.7366495976591075,0.959047619047619,0.6571428571428571,0.8332643773272652,0.9439269841269842,1007,43,360,690
Xception,A,StyleGAN2,42,0.88,0.8073959938366718,0.9980952380952381,0.7619047619047619,0.8926746166950597,0.9949233560090703,1048,2,250,800
Xception,A,StyleGAN2,123,0.9304761904761905,0.8804713804713805,0.9961904761904762,0.8647619047619047,0.934763181411975,0.9983632653061225,1046,4,142,908
Xception,A,StyleGAN2,2024,0.9695238095238096,0.9481818181818182,0.9933333333333333,0.9457142857142857,0.9702325581395349,0.9984625850340135,1043,7,57,993
Xception,B,StyleGAN3,42,0.8371428571428572,0.793046357615894,0.9123809523809524,0.7619047619047619,0.8485385296722764,0.9178875283446712,958,92,250,800
Xception,B,StyleGAN3,123,0.8857142857142857,0.870201096892139,0.9066666666666666,0.8647619047619047,0.8880597014925373,0.9547714285714286,952,98,142,908
Xception,B,StyleGAN3,2024,0.8566666666666667,0.9339513325608343,0.7676190476190476,0.9457142857142857,0.8426555148980659,0.9482267573696145,806,244,57,993
Xception,C,SDXL,42,0.7738095238095238,0.7674418604651163,0.7857142857142857,0.7619047619047619,0.7764705882352941,0.8543160997732426,825,225,250,800
Xception,C,SDXL,123,0.7685714285714286,0.8325471698113207,0.6723809523809524,0.8647619047619047,0.743940990516333,0.8765678004535147,706,344,142,908
Xception,C,SDXL,2024,0.7647619047619048,0.9149253731343283,0.5838095238095238,0.9457142857142857,0.7127906976744186,0.8916149659863946,613,437,57,993
Xception,D,Flux,42,0.8380952380952381,0.7933884297520661,0.9142857142857143,0.7619047619047619,0.8495575221238938,0.914481179138322,960,90,250,800
Xception,D,Flux,123,0.8080952380952381,0.8474758324382384,0.7514285714285714,0.8647619047619047,0.7965673902069662,0.9023360544217688,789,261,142,908
Xception,D,Flux,2024,0.8376190476190476,0.9307411907654921,0.7295238095238096,0.9457142857142857,0.8179391350774159,0.9444866213151928,766,284,57,993
